Genetic Algorithm OX Insertion, 60, 50, 222.5610671576133, 60.811125
Genetic Algorithm OX Insertion, 300, 10, 222.5610671576133, 300.175657
Genetic Algorithm OX Insertion, 300, 25, 222.5610671576133, 300.3637685
Genetic Algorithm OX Insertion, 300, 50, 222.5610671576133, 300.7215605
Genetic Algorithm OX Insertion, 1200, 10, 222.1210361996825, 1200.17222
Genetic Algorithm OX Insertion, 1200, 25, 222.5610671576133, 1200.283406
Genetic Algorithm OX Insertion, 1200, 50, 222.5610671576133, 1200.725143
Genetic Algorithm OX Inversion, 5, 10, 221.16175014763206, 5.160982
Genetic Algorithm OX Inversion, 5, 25, 221.23650997027983, 5.4504335
Genetic Algorithm OX Inversion, 5, 50, 220.4388819110655, 5.741289
Genetic Algorithm OX Inversion, 10, 10, 221.78314763061482, 10.1312185
Genetic Algorithm OX Inversion, 10, 25, 222.25763657066466, 10.31468
Genetic Algorithm OX Inversion, 10, 50, 221.5933187078405, 10.5208615
Genetic Algorithm OX Inversion, 30, 10, 222.33567544665226, 30.1419115
Genetic Algorithm OX Inversion, 30, 25, 222.55481333876787, 30.3311425
Genetic Algorithm OX Inversion, 30, 50, 222.509720991271, 30.6157445
Genetic Algorithm OX Inversion, 60, 10, 222.5610671576133, 60.1490695
Genetic Algorithm OX Inversion, 60, 25, 222.5610671576133, 60.3046935
Genetic Algorithm OX Inversion, 60, 50, 222.5610671576133, 60.676553
Genetic Algorithm OX Inversion, 300, 10, 221.44513183516523, 300.1360745
Genetic Algorithm OX Inversion, 300, 25, 222.5610671576133, 300.3995485
Genetic Algorithm OX Inversion, 300, 50, 222.5610671576133, 300.6726305
Genetic Algorithm OX Inversion, 1200, 10, 222.5610671576133, 1200.132356
Genetic Algorithm OX Inversion, 1200, 25, 222.5610671576133, 1200.3310365
Genetic Algorithm OX Inversion, 1200, 50, 222.5610671576133, 1200.790716
Simulated Annealing, 100, 0.9, 25.0, 209.56288710462417, 0.2904585
Simulated Annealing, 100, 0.9, 50.0, 206.37513001025275, 0.151478
Simulated Annealing, 100, 0.9, 75.0, 211.4941934013023, 0.07208
Simulated Annealing, 100, 0.99, 25.0, 214.0894070396445, 2.799581
Simulated Annealing, 100, 0.99, 50.0, 208.88597945164642, 1.4007845
Simulated Annealing, 100, 0.99, 75.0, 209.5747914526923, 0.595885
Simulated Annealing, 100, 0.999, 25.0, 215.57569718389345, 27.807853
Simulated Annealing, 100, 0.999, 50.0, 217.06422823220785, 13.8940145
Simulated Annealing, 100, 0.999, 75.0, 212.57107980185907, 5.7753115
Simulated Annealing, 100, 0.9999, 25.0, 217.76297218950043, 274.883875
Simulated Annealing, 100, 0.9999, 50.0, 216.82849172713543, 135.5589605
Simulated Annealing, 100, 0.9999, 75.0, 215.49258199474235, 56.315822
Simulated Annealing, 500, 0.9, 125.0, 209.85187461024566, 0.2828865
Simulated Annealing, 500, 0.9, 250.0, 196.01028749040768, 0.146598
Simulated Annealing, 500, 0.9, 375.0, 201.07764229550082, 0.067872
Simulated Annealing, 500, 0.99, 125.0, 212.27631454644194, 2.705281
Simulated Annealing, 500, 0.99, 250.0, 214.4201432035022, 1.3832385
Simulated Annealing, 500, 0.99, 375.0, 208.48355137470048, 0.5755765
Simulated Annealing, 500, 0.999, 125.0, 216.40944369968136, 27.108926
Simulated Annealing, 500, 0.999, 250.0, 215.29452949538052, 13.579212
Simulated Annealing, 500, 0.999, 375.0, 214.96355254459343, 5.6690365
Simulated Annealing, 500, 0.9999, 125.0, 218.61831375902665, 274.573386
Simulated Annealing, 500, 0.9999, 250.0, 218.62790997401223, 139.790787
Simulated Annealing, 500, 0.9999, 375.0, 215.93557254535207, 57.792603
Simulated Annealing, 1000, 0.9, 250.0, 209.16397696605628, 0.28869
Simulated Annealing, 1000, 0.9, 500.0, 212.23086586362695, 0.1531065
Simulated Annealing, 1000, 0.9, 750.0, 197.05447810999584, 0.0702605
Simulated Annealing, 1000, 0.99, 250.0, 210.68171918733097, 2.779916
Simulated Annealing, 1000, 0.99, 500.0, 209.39629108175882, 1.393601
Simulated Annealing, 1000, 0.99, 750.0, 213.47687233186127, 0.5883935
Simulated Annealing, 1000, 0.999, 250.0, 217.14560075988516, 27.799297
Simulated Annealing, 1000, 0.999, 500.0, 214.95735855942024, 14.01255
Simulated Annealing, 1000, 0.999, 750.0, 215.41046334877473, 5.8955815
Simulated Annealing, 1000, 0.9999, 250.0, 217.80157583471697, 271.81848
Simulated Annealing, 1000, 0.9999, 500.0, 217.51528144803163, 135.590825
Simulated Annealing, 1000, 0.9999, 750.0, 217.25595895078828, 56.3020495
